Назва Установи / Середньорічні показники,Напрям,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,"Сума вагових коєфіцієнтів, I*",Середній бал Експерта,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Попередня атестаційна оцінка,Група
Національний університет “Запорізька політехніка”,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02070849,Запорізька область,13.207,3.5553,11.2767,31.0215,1.1,1,34,В
ДВНЗ «Донецький національний технічний університет»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02070826,Донецька область,11.4343,7.0557,10.5586,29.0461,1.15,1,33,В
Державний університет інфраструктури та технологій,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,41330257,Київ,13.7652,4.8667,11.9855,32.9714,1,1,33,В
ЦЕНТРАЛЬНОУКРАЇНСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ ІМЕНІ ВОЛОДИМИРА ВИННИЧЕНКА,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125415,Кіровоградська область,14.0538,4.5333,12.1497,33.4231,1,1,33,В
"Державний заклад ""Південноукраїнський національний педагогічний університет імені К. Д. Ушинського""",Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02125473,Одеська область,12.5585,4.6,10.9668,30.169,1.05,1,32,В
Національний університет фізичного виховання і спорту України,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02928433,Київ,13.0329,5.7333,11.573,31.8366,1,1,32,В
Одеський державний аграрний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",00493008,Одеська область,12.5123,4.7333,10.9565,30.1407,1.05,1,32,В
Хмельницький національний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02071234,Хмельницька область,13.1808,5.4283,11.6303,31.9943,1,1,32,В
Дніпровський державний аграрно-економічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",00493675,Дніпропетровська область,12.4297,4.4167,10.8271,29.7847,1.05,1,31,В
Криворізький державний педагогічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",40787802,Дніпропетровська область,12.5816,3.0333,10.6719,29.3578,1.05,1.008,31,В
Криворізький національний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",37664469,Дніпропетровська область,12.176,3.3703,10.4149,28.6508,1.05,1.022,31,В
Уманський державний педагогічний університет імені Павла Тичини,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125639,Черкаська область,12.9937,5.0667,11.4083,31.3836,1,1,31,В
Національний транспортний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070915,Київ,12.096,5.3333,10.7435,29.5547,1,1,30,В
Придніпровська державна академія фізичної культури і спорту,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",55407112,Дніпропетровська область,11.5565,4.9333,10.2319,28.1474,1.05,1.023,30,В
Одеська державна академія будівництва та архітектури,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02071033,Одеська область,10.745,6.5553,9.9071,27.2538,1.05,1,29,В
Глухівський національний педагогічний університет імені Олександра Довженка,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02125527,Сумська область,9.7419,6.4,9.0735,24.9607,1.1,1.013,28,В
