Назва установи / Закладу вищої освіти,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,Напрям,Класифікаційна оцінка,Експертна оцінка,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Атестаційна оцінка,Група,Назва показника,Показник,Індикатор,Нормований індикатор
Черкаський національний університет імені Богдана Хмельницького,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125622,Черкаська область,Суспільний,8.5276,2.3667,7.2954,20.0692,1.0,1.0,20,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,22769675,Хмельницька область,Суспільний,7.3066,5.9047,7.0262,19.3287,1.0,1.0,19,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Херсонська державна морська академія,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",35219930,Херсонська область,Суспільний,6.2131,5.5,6.0705,16.6996,1.15,1.0,19,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Державний заклад вищої освіти Університет менеджменту освіти НАПН України,Заклад вищої освіти,Національна академія педагогічних наук України,інші області,35830447,Київ,Суспільний,5.8532,5.7,5.8226,16.0176,1.0,1.0,16,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Донбаська державна машинобудівна академія,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",2070789,Донецька область,Суспільний,3.8696,5.7,4.2357,11.6522,1.15,1.0,13,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Одеський національний морський університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",1127777,Одеська область,Суспільний,3.9299,4.857,4.1153,11.3209,1.05,1.0,12,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
"Комунальний заклад вищої освіти ""Дніпровська академія неперервної освіти"" Дніпропетровської обласної ради""",Заклад вищої освіти,Дніпропетровська обласна рада,"Дніпропетровська, Одеська, Чернігівська область",41682253,Дніпропетровська область,Суспільний,3.893,3.0667,3.7277,10.2547,1.05,1.0,11,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Заклад вищої освіти,Міністерство освіти і науки України,інші області,492990,Львівська область,Суспільний,3.9875,2.6,3.71,10.206,1.0,1.0,10,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Таврійський національний університет імені В.І. Вернадського,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070967,Київ,Суспільний,3.0568,6.0333,3.6521,10.0467,1.0,1.0,10,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Київський аграрний університет НААН України,Заклад вищої освіти,Національна академія агрраних наук України,інші області,26469774,Київ,Суспільний,0.4534,3.2223,1.1972,2.7707,1.0,1.0,3,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Національний університет біоресурсів і природокористування України,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493706,Київ,Аграрно-ветеринарний,48.5522,6.6297,40.1677,100.0,1.0,1.0,100,А,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",5528.656,16.953,3.0
Сумський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",4718013,Сумська область,Аграрно-ветеринарний,32.4351,5.4333,27.0347,67.3046,1.1,1.009,75,А,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Таврійський державний агротехнологічний університет імені Дмитра Моторного,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",493698,Запорізька область,Аграрно-ветеринарний,31.235,4.5237,25.8927,64.4615,1.15,1.0,74,Б,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Миколаївський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497213,Миколаївська область,Аграрно-ветеринарний,30.4608,5.0667,25.382,63.1901,1.1,1.0,70,Б,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Національний лісотехнічний університет України,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070996,Львівська область,Аграрно-ветеринарний,30.6065,6.1667,25.7185,64.0278,1.0,1.0,64,Б,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",18.6,0.382,3.0
Херсонський державний аграрно-економічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",493020,Херсонська область,Аграрно-ветеринарний,20.9617,5.2,17.8094,44.3376,1.15,1.148,59,Б,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Поліський національний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493681,Житомирська область,Аграрно-ветеринарний,23.4005,5.3,19.7804,49.2445,1.0,1.0,49,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",200.0,3.138,3.0
Полтавський державний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493014,Полтавська область,Аграрно-ветеринарний,22.0969,6.7,19.0175,47.3453,1.0,1.0,47,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Уманський національний університет садівництва,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493787,Чернівецька область,Аграрно-ветеринарний,22.4648,5.2667,19.0252,47.3644,1.0,1.0,47,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Західноукраїнський національний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,33680120,Тернопільська область,Аграрно-ветеринарний,21.6072,4.8333,18.2524,45.4405,1.0,1.0,45,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Одеський державний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",493008,Одеська область,Аграрно-ветеринарний,19.1867,4.3667,16.2227,40.3874,1.05,1.001,42,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",601.82,11.6,3.0
Вінницький національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,497236,Вінницька область,Аграрно-ветеринарний,17.0945,6.8667,15.0489,37.4652,1.0,1.0,37,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Дніпровський державний аграрно-економічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",493675,Київ,Аграрно-ветеринарний,15.8661,6.2777,13.9484,34.7254,1.05,1.0,36,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",146.0,0.84,3.0
Білоцерківський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493712,Київська область,Аграрно-ветеринарний,15.9279,6.1667,13.9757,34.7934,1.0,1.0,35,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Тернопільський національний технічний університет імені Івана Пулюя,Заклад вищої освіти,Міністерство освіти і науки України,інші області,5408102,Тернопільська область,Аграрно-ветеринарний,15.973,4.0833,13.5951,33.8459,1.0,1.0,34,В,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Національний університет водного господарства та природокористування,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2071116,Рівненська область,Аграрно-ветеринарний,11.1658,4.4667,9.826,24.4624,1.0,1.0,24,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Київський аграрний університет НААН України,Заклад вищої освіти,Національна академія агрраних наук України,інші області,26469774,Київ,Аграрно-ветеринарний,8.4784,4.111,7.6049,18.9329,1.0,1.0,19,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,22769675,Хмельницька область,Аграрно-ветеринарний,7.321,5.2667,6.9101,17.2031,1.0,1.0,17,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Заклад вищої освіти,Міністерство освіти і науки України,інші області,492990,Львівська область,Аграрно-ветеринарний,6.7823,5.2,6.4658,16.097,1.0,1.0,16,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
Національний університет «Чернігівська політехніка»,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",5460798,Чернігівська область,Аграрно-ветеринарний,6.3128,3.0,5.6502,14.0665,1.05,1.008,15,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
"Державний вищий навчальний заклад ""Ужгородський національний університет""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070832,Закарпатська область,Аграрно-ветеринарний,5.3946,5.0,5.3157,13.2338,1.0,1.0,13,Г,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом) Ф1, І8",0.0,0.0,0.0
НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР «ІНСТИТУТ ҐРУН­ТО­ЗНАВ­СТВА ТА АГРОХІМІЇ ІМЕНІ О. Н. СОКОЛОВСЬКОГО»,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497058,Харківська область,Аграрно-ветеринарний,28.372,7.1667,24.1309,92.4304,1.1,1.0,100,А,"Обсяги залучення державного грантового фінансування Ф3, І10",235.76,3.591,1.0
Інститут водних проблем і меліорації Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,1018947,Київ,Аграрно-ветеринарний,31.0135,6.4817,26.1071,100.0,1.0,1.0,100,А,"Обсяги залучення державного грантового фінансування Ф3, І10",498.94,6.102,1.0
"Національний науковий центр ""Інститут експериментальної і клінічної ветеринарної медицини""",Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497086,Харківська область,Аграрно-ветеринарний,27.2397,6.8333,23.1584,88.7054,1.1,1.0,98,А,"Обсяги залучення державного грантового фінансування Ф3, І10",729.58,9.166,1.0
Інститут біоенергетичних культур і цукрових буряків Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,489780,Київська область,Аграрно-ветеринарний,27.2374,6.8573,23.1614,88.7169,1.0,1.0,89,А,"Обсяги залучення державного грантового фінансування Ф3, І10",26.24,0.376,1.0
Державний науково-дослідний інститут з лабораторної діагностики та ветеринарно-санітарної експертизи,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,699690,Київ,Аграрно-ветеринарний,26.8699,4.9667,22.4893,86.1425,1.0,1.0,86,А,"Обсяги залучення державного грантового фінансування Ф3, І10",27.1,0.538,1.0
Інститут сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496952,Львівська область,Аграрно-ветеринарний,26.4891,4.7777,22.1468,84.8306,1.0,1.0,85,А,"Обсяги залучення державного грантового фінансування Ф3, І10",47.2,0.538,1.0
Інститут рослинництва ім. В.Я. Юр'єва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497176,Харківська область,Аграрно-ветеринарний,17.0976,7.1333,15.1047,57.8567,1.1,1.3,83,А,"Обсяги залучення державного грантового фінансування Ф3, І10",12.0,0.103,1.0
"Національний науковий центр ""Інститут землеробства Національної академії аграрних наук України""",Наукова установа,Національна академія агрраних наук України,інші області,496834,Київська область,Аграрно-ветеринарний,24.4597,4.8667,20.5411,78.6801,1.0,1.0,79,А,"Обсяги залучення державного грантового фінансування Ф3, І10",230.0,1.513,1.0
Інститут олійних культур Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",1296051,Запорізька область,Аграрно-ветеринарний,22.3789,3.4667,18.5965,71.2316,1.1,1.0,78,А,"Обсяги залучення державного грантового фінансування Ф3, І10",238.48,5.667,1.0
Інститут сільськогосподарської мікробіології та агропромислового виробництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",497360,Чернігівська область,Аграрно-ветеринарний,18.6678,4.6297,15.8602,60.7505,1.05,1.22,78,А,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Інститут агроекології і природокористування Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,13722478,Київ,Аграрно-ветеринарний,22.4295,4.6333,18.8703,72.2803,1.0,1.0,72,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Державна установа Інститут зернових культур Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",496662,Дніпропетровська область,Аграрно-ветеринарний,20.5148,5.2083,17.4535,66.8535,1.05,1.0,70,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
ІНСТИТУТ ЗАХИСТУ РОСЛИН НАЦІОНАЛЬНОЇ АКАДЕМІЇ АГРАРНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія агрраних наук України,інші області,5523406,Київ,Аграрно-ветеринарний,21.2785,5.7667,18.1761,69.6213,1.0,1.0,70,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",120.0,2.199,1.0
Інститут садівництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,413297,Київська область,Аграрно-ветеринарний,20.4388,7.0,17.751,67.993,1.0,1.0,68,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",879.22,11.418,1.0
Інститут біології тварин Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,30995014,Львівська область,Аграрно-ветеринарний,19.4269,5.6667,16.6749,63.8711,1.0,1.0,64,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Український ордена ""Знак Пошани"" науково-дослідний інститут лісового господарства та агролісомеліорації імені Г.М. Висоцького Державного агенства лісових ресурсів України та Національної академії наук України",Наукова установа,Національна академія наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",994064,Харківська область,Аграрно-ветеринарний,16.1159,5.111,13.9149,53.2993,1.1,1.038,61,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Інститут ветеринарної медицини Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,5510830,Київ,Аграрно-ветеринарний,18.5045,4.3667,15.6769,60.0484,1.0,1.0,60,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",2328.8,119.303,1.0
Інститут рибного господарства Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,4372342,Київ,Аграрно-ветеринарний,17.384,5.7667,15.0605,57.6874,1.0,1.0,58,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",586.5,9.018,1.0
Інститут розведення і генетики тварин імені М.В. Зубця НААН,Наукова установа,Національна академія агрраних наук України,інші області,5408024,Київська область,Аграрно-ветеринарний,17.0899,6.8333,15.0386,57.6035,1.0,1.0,58,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",178.0,3.114,1.0
Селекційно-генетичний інститут - Національний центр насіннєзнавства та сортовивчення,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",494628,Одеська область,Аграрно-ветеринарний,13.6944,7.0,12.3555,47.3262,1.05,1.13,56,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",9.96,0.126,1.0
Інститут кормів та сільського господарства Поділля Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496588,Вінницька область,Аграрно-ветеринарний,17.2563,4.5557,14.7162,56.3686,1.0,1.0,56,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",160.0,2.196,1.0
Інститут свинарства і агропромислового виробництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,497006,Полтавська область,Аграрно-ветеринарний,17.0949,4.611,14.5981,55.9162,1.0,1.0,56,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Донецька державна сільськогосподарська дослідна станція Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",729333,Донецька область,Аграрно-ветеринарний,13.9359,5.7777,12.3043,47.1301,1.15,1.0,54,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Інститут сільського господарства Степу Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729907,Кіровоградська область,Аграрно-ветеринарний,16.2817,4.6667,13.9587,53.4671,1.0,1.0,53,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Державний науково-дослідний контрольний інститут ветеринарних препаратів та кормових добавок,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,485670,Львівська область,Аграрно-ветеринарний,14.2214,4.3887,12.2549,46.9409,1.0,1.108,52,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",133.6,1.315,1.0
Інститут луб'яних культур Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497845,Сумська область,Аграрно-ветеринарний,13.7945,5.3333,12.1023,46.3564,1.1,1.016,52,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Інститут овочівництва і баштанництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497124,Харківська область,Аграрно-ветеринарний,13.9342,4.6667,12.0807,46.2736,1.1,1.008,51,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Державна дослідна станція птахівництва Інституту тваринництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",39217680,Харківська область,Аграрно-ветеринарний,13.3755,5.111,11.7226,44.902,1.1,1.0,49,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Одеська державна сільськогосподарська дослідна станція Інституту кліматично орієнтованого сільського господарства Національної академії аграрних наук,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",729511,Одеська область,Аграрно-ветеринарний,13.4211,6.6663,12.0701,46.233,1.05,1.0,49,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Інститут картоплярства Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496828,Київська область,Аграрно-ветеринарний,14.4499,6.7333,12.9066,49.4371,1.0,1.0,49,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Інститут сільського господарства Північного Сходу Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",724927,Сумська область,Аграрно-ветеринарний,12.803,5.1667,11.2757,43.1902,1.1,1.0,48,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Прикарпатська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,704273,Івано-Франківська область,Аграрно-ветеринарний,13.2314,4.611,11.5073,44.0773,1.0,1.0,44,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Український науково-дослідний інститут гірського лісівництва імені П.С. Пастернака,Наукова установа,"Міністерство захисту довкілля та природних ресурсів України, Державне агентство лісових ресурсів України, Національна академія наук України",інші області,994147,Івано-Франківська область,Аграрно-ветеринарний,13.2634,6.0667,11.8241,45.2907,1.0,1.0,45,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Український інститут експертизи сортів рослин,Наукова установа,Міністерство аграрної політики та продовольства України,інші області,488332,Київ,Аграрно-ветеринарний,12.8743,6.7,11.6394,44.5833,1.0,1.0,45,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Національний науковий центр ""Інститут виноградарства і виноробства імені В.Є. Таїрова""",Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",5431532,Одеська область,Аграрно-ветеринарний,12.4396,4.9,10.9317,41.8725,1.05,1.0,44,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Носівська селекційно-дослідна станція Миронівського інституту пшениці імені В.М. Ремесла Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",14244013,Чернігівська область,Аграрно-ветеринарний,11.2891,5.6667,10.1646,38.9342,1.05,1.0,41,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Державна наукова установа ""Український науково-дослідний інститут прогнозування та випробовування техніки і технологій для сільськогосподарського виробництва імені Леоніда Погорілого""",Наукова установа,Міністерство аграрної політики та продовольства України,інші області,4604309,Київська область,Аграрно-ветеринарний,11.7108,5.0477,10.3782,39.7524,1.0,1.0,40,В,"Обсяги залучення державного грантового фінансування Ф3, І10",8718.806,143.875,1.0
Миронівський інститут пшениці імені В.М. Ремесла Національна академія аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496863,Київська область,Аграрно-ветеринарний,11.6582,5.8667,10.4999,40.2186,1.0,1.0,40,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Тернопільська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії наук України,Наукова установа,Національна академія агрраних наук України,інші області,4766584,Тернопільська область,Аграрно-ветеринарний,10.4025,4.9167,9.3053,35.6428,1.0,1.0,36,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Черкаська дослідна станція біоресурсів Національної академії наук України,Наукова установа,Національна академія агрраних наук України,інші області,1598301,Черкаська область,Аграрно-ветеринарний,10.6514,4.0,9.3211,35.7033,1.0,1.0,36,В,"Обсяги залучення державного грантового фінансування Ф3, І10",370.44,24.598,1.0
Інститут Тваринництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497199,Харківська область,Аграрно-ветеринарний,9.4894,5.0477,8.6011,32.9454,1.1,1.0,36,В,"Обсяги залучення державного грантового фінансування Ф3, І10",9234.612,152.135,1.0
Державний науково-контрольний інститут біотехнології і штамів мікроорганізмів,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,19024865,Київ,Аграрно-ветеринарний,9.7087,6.2223,9.0114,34.517,1.0,1.0,35,В,"Обсяги залучення державного грантового фінансування Ф3, І10",256.51,8.494,1.0
Буковинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729868,Чернівецька область,Аграрно-ветеринарний,9.808,4.5833,8.7631,33.566,1.0,1.0,34,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Інститут сільського господарства Полісся Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,5453752,Житомирська область,Аграрно-ветеринарний,9.5156,5.389,8.6903,33.2871,1.0,1.0,33,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Волинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,13368842,Волинська область,Аграрно-ветеринарний,9.7196,3.5,8.4757,32.4651,1.0,1.0,32,В,"Обсяги залучення державного грантового фінансування Ф3, І10",966.76,68.082,1.0
