№,Індикатор,Назва індикатору,Тип установи,Напрям,Медіана
83,I9,Обсяги залучення міжнародного грантового фінансування (інші програми),Заклад вищої освіти,Аграрно-ветеринарний,0.0
84,I10,Обсяги залучення державного грантового фінансування,Заклад вищої освіти,Аграрно-ветеринарний,0.0
85,I11,Обсяги залучення коштів бізнесу (іноземні замовники),Заклад вищої освіти,Аграрно-ветеринарний,0.0
86,I12,Обсяги залучення коштів бізнесу (українські замовники),Заклад вищої освіти,Аграрно-ветеринарний,14.537
87,I13,Обсяги залучення коштів на наукове обладнання/устаткування,Заклад вищої освіти,Аграрно-ветеринарний,13.054
88,I14,Обсяги залучення коштів на дослідження з позанаукових рахунків ЗВО**,Заклад вищої освіти,Аграрно-ветеринарний,0.0
89,I15,"Кількість монографій, Scopus/WoS",Заклад вищої освіти,Аграрно-ветеринарний,0.0
90,I16,"Кількість монографій, ОЄСР/ЄС",Заклад вищої освіти,Аграрно-ветеринарний,0.004
91,I17,"Кількість монографій, Україна",Заклад вищої освіти,Аграрно-ветеринарний,0.053
92,I18,"Кількість розділів монографій, Scopus/WoS",Заклад вищої освіти,Аграрно-ветеринарний,0.0
93,I19,"Кількість статей, Scopus/WoS, Q1-Q2",Заклад вищої освіти,Аграрно-ветеринарний,0.046
94,I20,"Кількість статей, Scopus/WoS, Q3-Q4",Заклад вищої освіти,Аграрно-ветеринарний,0.351
95,I21,"Кількість статей у відкритому доступі, Scopus/WoS, Q1-Q4",Заклад вищої освіти,Аграрно-ветеринарний,0.845
96,I22,"Кількість статей, категорія Б",Заклад вищої освіти,Аграрно-ветеринарний,1.199
97,I23,Кількість препринтів,Заклад вищої освіти,Аграрно-ветеринарний,0.0
98,I24,"Кількість словників, довідників, каталогів тощо",Заклад вищої освіти,Аграрно-ветеринарний,1.457
99,I25,Кількість видань категорії А,Заклад вищої освіти,Аграрно-ветеринарний,0.0
100,I26,"Кількість патентів України на винахід, сорти рослин",Заклад вищої освіти,Аграрно-ветеринарний,0.0
101,I27,Кількість патентів України на корисну модель,Заклад вищої освіти,Аграрно-ветеринарний,0.107
102,I28,Кількість свідоцтв України на комп програму,Заклад вищої освіти,Аграрно-ветеринарний,0.0
103,I29,Кількість міжнародних патентів,Заклад вищої освіти,Аграрно-ветеринарний,0.0
104,I30,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом)",Заклад вищої освіти,Аграрно-ветеринарний,0.0
105,I31,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом) як координатор",Заклад вищої освіти,Аграрно-ветеринарний,0.0
106,I32,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом), які профінансовані",Заклад вищої освіти,Аграрно-ветеринарний,0.0
107,I33, Кількість заявок на загальнодержавні гранти,Заклад вищої освіти,Аграрно-ветеринарний,0.003
108,I34,"Кількість заявок на загальнодержавні гранти, які профінансовані",Заклад вищої освіти,Аграрно-ветеринарний,0.0
109,I35,Кількість заявок на інші міжнародні гранти,Заклад вищої освіти,Аграрно-ветеринарний,0.007
110,I36,"Кількість заявок на інші міжнародні гранти, як координатор",Заклад вищої освіти,Аграрно-ветеринарний,0.0
111,I37,"Кількість заявок на інші міжнародні гранти, як переможець",Заклад вищої освіти,Аграрно-ветеринарний,0.25
112,I1,Захисти доктори філософії,Наукова установа,Аграрно-ветеринарний,0.011
113,I2,Захисти доктори наук,Наукова установа,Аграрно-ветеринарний,0.0
114,I3,Кількість молодих вчених,Наукова установа,Аграрно-ветеринарний,0.132
115,I4,Кількість наукових працівників за основним місцем роботи**,Наукова установа,Аграрно-ветеринарний,0.0
116,I5,Показник гендерної рівності,Наукова установа,Аграрно-ветеринарний,0.088
117,I6,Кількість дослідників із науковими ступенями,Наукова установа,Аграрно-ветеринарний,0.56
118,I7,Кількість проведених експертиз,Наукова установа,Аграрно-ветеринарний,0.0
119,I8,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом)",Наукова установа,Аграрно-ветеринарний,0.0
120,I9,Обсяги залучення міжнародного грантового фінансування (інші програми),Наукова установа,Аграрно-ветеринарний,0.0
121,I10,Обсяги залучення державного грантового фінансування,Наукова установа,Аграрно-ветеринарний,0.0
122,I11,Обсяги залучення коштів бізнесу (іноземні замовники),Наукова установа,Аграрно-ветеринарний,0.0
123,I12,Обсяги залучення коштів бізнесу (українські замовники),Наукова установа,Аграрно-ветеринарний,83.326
124,I13,Обсяги залучення коштів на наукове обладнання/устаткування,Наукова установа,Аграрно-ветеринарний,0.96
125,I14,Обсяги залучення коштів на дослідження з позанаукових рахунків ЗВО**,Наукова установа,Аграрно-ветеринарний,0.0
126,I15,"Кількість монографій, Scopus/WoS",Наукова установа,Аграрно-ветеринарний,0.0
127,I16,"Кількість монографій, ОЄСР/ЄС",Наукова установа,Аграрно-ветеринарний,0.0
128,I17,"Кількість монографій, Україна",Наукова установа,Аграрно-ветеринарний,0.015
129,I18,"Кількість розділів монографій, Scopus/WoS",Наукова установа,Аграрно-ветеринарний,0.0
130,I19,"Кількість статей, Scopus/WoS, Q1-Q2",Наукова установа,Аграрно-ветеринарний,0.007
131,I20,"Кількість статей, Scopus/WoS, Q3-Q4",Наукова установа,Аграрно-ветеринарний,0.083
132,I21,"Кількість статей у відкритому доступі, Scopus/WoS, Q1-Q4",Наукова установа,Аграрно-ветеринарний,0.964
133,I22,"Кількість статей, категорія Б",Наукова установа,Аграрно-ветеринарний,0.405
134,I23,Кількість препринтів,Наукова установа,Аграрно-ветеринарний,0.0
